mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
171,360.414,2.69,2,8,2.69,4.98,110.8,0.61,26,3
172,412.494,2.53,2,9,2.49,6.35,128.6,0.62,30,5
174,358.398,2.29,2,8,2.29,5.01,118.64,0.56,26,3
175,416.478,3.13,2,8,3.13,5.01,127.87,0.62,30,5
176,449.483,2.8,2,8,2.8,5,131.11,0.62,32,6
182,398.467,2.29,2,9,2.29,4.9,128.6,0.6,29,4
183,445.52,2.6,2,8,2.6,5.01,131.11,0.64,32,5
185,401.467,2.18,3,8,2.17,5.01,144.66,0.6,29,4
186,346.387,1.63,2,8,1.63,5.01,110.8,0.59,25,3
121,359.43,2.45,3,8,-0.43,10.53,113.6,0.61,26,3
141,347.44,2.22,3,7,-0.67,10.54,104.37,0.56,24,3
152,373.457,2.43,3,8,0.15,9.73,113.6,0.63,27,3
153,373.457,2.43,3,8,0.2,9.67,113.6,0.63,27,3
163,359.43,2.37,3,8,-0.51,10.53,113.6,0.61,26,3
169,359.43,2.37,3,8,-0.51,10.53,113.6,0.61,26,3
170,359.43,2.37,3,8,-0.51,10.53,113.6,0.61,26,3
177,347.44,2.22,3,7,-0.67,10.54,104.37,0.56,24,3
178,347.44,2.22,3,7,-0.67,10.54,104.37,0.56,24,3
187,361.46,2.66,3,7,-0.22,10.54,104.37,0.59,25,3
191,359.43,2.37,3,8,-0.51,10.53,113.6,0.61,26,3
192,345.403,1.93,3,8,-0.95,10.53,113.6,0.59,25,3
