mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
21,236.275,1.64,2,5,1.64,4.47,104.12,0.55,17,3
34,250.302,2,2,5,2,4.46,104.12,0.58,18,3
35,322.365,1.91,3,7,1.91,3.87,133.58,0.67,23,5
36,644.73,1.91,3,7,1.91,3.87,133.58,0.67,46,10
37,338.364,0.38,4,8,0.38,3.9,153.81,0.67,24,5
39,393.444,2.37,3,7,2.37,3.9,151.68,0.67,28,7
43,318.377,2.65,2,6,2.65,3.9,113.35,0.69,23,5
45,314.345,3.29,2,5,3.29,3.37,113.35,0.31,23,5
47,196.21,0.61,2,5,0.61,4.47,104.12,0.38,14,3
48,236.154,0.79,2,5,0.79,4.41,104.12,0.29,16,4
49,224.264,1.66,2,5,1.65,4.47,104.12,0.5,16,5
50,200.173,0.04,2,5,0.04,4.48,104.12,0.29,14,4
55,232.191,0.3,2,5,0.3,4.41,104.12,0.38,16,5
59,218.164,0.3,2,5,0.3,4.45,104.12,0.29,15,4
62,214.2,0.45,2,5,0.45,4.44,104.12,0.38,15,4
64,182.183,0.19,2,5,0.19,4.51,104.12,0.29,13,3
66,334.299,3.03,2,6,3.03,3.84,113.35,0.62,23,6
67,192.178,0.07,2,5,0.06,4.37,104.12,0.12,14,3
73,196.21,0.72,2,5,0.72,4.5,104.12,0.38,14,4
74,206.205,0.48,2,5,0.48,4.33,104.12,0.22,15,3
78,210.237,1.08,2,5,1.08,4.5,104.12,0.44,15,4
82,238.291,1.94,2,5,1.94,4.47,104.12,0.55,17,5
83,244.202,0.48,2,5,0.48,4.5,104.12,0.44,17,4
84,210.237,1.13,2,5,1.13,4.47,104.12,0.44,15,4
102,287.279,1.93,3,7,-0.94,2.39,134.15,0.38,21,2
117,408.458,3.68,2,8,1.83,5.06,118.64,0.36,30,5
119,422.485,3.46,2,8,1.75,5.3,118.64,0.39,31,6
120,514.6,2.49,2,10,0.81,5.17,152.78,0.44,36,8
122,459.503,0.42,3,10,-1.34,5.24,159.18,0.59,33,6
123,471.514,0.55,3,10,-1.19,5.22,159.18,0.61,34,5
131,514.6,2.44,2,10,0.8,5.21,152.78,0.44,36,8
132,438.484,2.88,2,9,1.24,5.23,127.87,0.39,32,7
133,434.496,4,2,8,2.25,5.25,118.64,0.33,32,6
38,330.388,2.71,1,7,2.71,5.03,90.57,0.59,24,3
40,354.41,2.59,1,7,2.59,5.06,90.57,0.53,26,4
41,358.442,3.58,1,7,3.57,5.06,90.57,0.63,26,4
42,348.403,2.24,3,8,2.24,5.04,121.8,0.59,25,5
44,388.468,2.77,3,8,2.76,5.06,121.8,0.65,28,4
52,358.442,3.84,2,7,3.84,5.01,101.57,0.63,26,3
53,372.469,4.28,2,7,4.28,5.01,101.57,0.65,27,3
54,358.442,4.1,2,7,4.1,5.03,101.57,0.42,26,8
57,392.456,1.89,4,9,1.89,5.04,142.03,0.63,28,6
58,392.456,1.89,4,9,1.89,5.04,142.03,0.63,28,6
60,332.404,2.93,2,7,2.93,5.07,101.57,0.59,24,5
61,318.377,2.87,2,7,2.87,5.04,101.57,0.56,23,4
65,360.414,2.77,2,8,2.77,4.98,110.8,0.61,26,3
68,332.404,3.28,2,7,3.28,5.04,101.57,0.59,24,4
69,400.43,5.57,1,6,5.57,5.02,81.34,0.38,29,4
70,260.176,2.51,2,6,2.51,5.22,90.13,0.22,18,3
71,304.35,2.45,2,7,2.44,5.01,101.57,0.53,22,3
75,308.313,1.87,2,7,1.87,5.02,101.57,0.5,22,4
76,264.285,1.48,2,7,1.47,5.05,101.57,0.42,19,4
77,304.229,1.66,2,7,1.66,4.99,101.57,0.36,21,5
79,362.43,2.65,3,8,2.65,5.01,121.8,0.61,26,5
85,224.195,1.76,2,6,1.76,5.29,90.13,0.22,16,3
86,268.248,0.9,2,7,0.9,5.06,101.57,0.36,19,5
90,372.469,4.12,2,7,4.12,5,101.57,0.65,27,3
91,306.322,1.38,2,8,1.38,4.99,110.8,0.5,22,3
92,306.38,2.64,2,6,2.62,5.96,92.34,0.5,21,4
93,290.323,2.06,2,7,2.06,5.05,101.57,0.5,21,4
94,300.266,1.17,2,7,1.16,4.99,101.57,0.42,21,6
103,327.388,3.66,1,7,3.66,4.88,105.13,0.53,24,3
104,374.441,3.89,1,8,3.89,5.06,99.8,0.63,27,5
105,350.394,3.13,2,7,3.13,5.04,101.57,0.59,25,5
106,454.373,4.76,2,7,4.64,5.03,101.57,0.61,31,6
107,327.388,3.33,1,7,3.33,5.06,105.13,0.53,24,4
108,268.248,0.96,2,7,0.96,5.11,101.57,0.36,19,4
109,346.45,3.61,2,6,3.59,5.92,92.34,0.59,24,3
110,348.42,2.54,2,7,2.52,5.9,101.57,0.56,24,3
111,318.377,2.89,2,7,2.89,5.01,101.57,0.56,23,3
112,358.321,3.07,2,7,3.07,4.95,101.57,0.53,25,4
113,341.327,3.81,1,8,3.81,3.32,124.48,0.19,25,4
114,394.475,4.51,2,7,4.51,5.02,101.57,0.41,29,5
115,294.37,2.23,2,6,2.22,5.92,92.34,0.46,20,4
116,365.437,4.15,1,7,4.14,5.11,94.23,0.4,27,4
118,336.41,2.01,3,7,1.99,5.95,112.57,0.53,23,5
124,366.425,3.69,1,8,3.69,4.99,107.12,0.42,27,4
125,360.48,4.05,2,6,4.04,5.92,92.34,0.61,25,3
126,442.53,4.12,1,8,4.12,5.02,115.48,0.41,31,5
127,368.441,3.46,1,7,3.31,7.07,99.16,0.47,27,4
128,406.486,4.75,2,7,4.75,5,101.57,0.43,30,3
129,362.43,2.52,3,8,2.52,5.04,121.8,0.61,26,5
130,386.375,3.88,2,7,3.88,4.92,101.57,0.59,27,5
134,358.442,3.76,2,7,3.76,5.01,101.57,0.63,26,3
136,320.41,3.02,2,6,3.01,5.93,92.34,0.53,22,3
137,316.361,2.88,1,7,2.88,4.99,98.41,0.5,23,4
138,346.45,3.61,2,6,3.59,5.92,92.34,0.59,24,3
139,353.44,3.91,1,6,3.9,5.93,85,0.33,25,4
140,320.41,3.05,2,6,3.04,5.95,92.34,0.53,22,4
142,313.361,3.02,1,7,3.01,4.92,105.13,0.5,23,3
143,318.377,2.79,2,7,2.79,5.05,101.57,0.56,23,4
144,332.404,2.85,2,7,2.85,5.07,101.57,0.59,24,5
145,374.441,2.68,3,8,2.68,5.01,121.8,0.63,27,3
146,374.441,2.68,3,8,2.68,4.98,121.8,0.63,27,3
147,358.442,3.76,2,7,3.76,5.01,101.57,0.63,26,3
148,374.441,2.68,3,8,2.68,4.98,121.8,0.63,27,3
150,327.388,3.25,1,7,3.25,5.06,105.13,0.53,24,4
151,473.574,3.72,2,8,3.71,5.01,131.11,0.67,34,5
154,503.563,3.16,3,9,3.16,5,150.56,0.42,37,4
156,386.375,3.8,2,7,3.8,4.92,101.57,0.59,27,5
157,442.516,3.71,2,9,3.71,4.97,120.03,0.61,32,3
158,274.324,3.64,2,6,3.64,5.28,90.13,0.5,20,2
159,350.394,3.05,2,7,3.05,5.04,101.57,0.59,25,5
160,348.403,2.16,3,8,2.16,5.04,121.8,0.59,25,5
161,402.451,2.55,2,9,2.55,5.01,120.03,0.65,29,3
162,378.86,3.44,2,7,3.44,5.01,101.57,0.61,26,3
164,401.467,1.98,2,8,1.98,5,121.88,0.6,29,3
165,417.466,1.17,3,9,1.16,5,142.11,0.6,30,4
166,541.64,0.56,2,11,0.56,5,173.09,0.68,36,4
167,445.523,4.44,2,8,4.44,5.01,125.36,0.44,33,4
168,419.5,-0.42,3,9,-0.42,8.91,132.88,0.58,29,6
