mol,A1_pore/wt,A1_pd3/wt,A1_pd3-pore/wt,A1_pd3-pore/pore,A1_pd3-pore/pd3,A2_pore/wt,A2_pd3/wt,A2_pd3-pore/wt,A2_pd3-pore/pore,A2_pd3-pore/pd3
G210-2547,2.03992,1.222726,2.089021,1.204656,2.036374,2.005909,1.431928,2.057844,1.252224,1.800676
G414-0762,1.187383,1.052517,1.247669,1.050772,1.185415,1.302071,1.112972,1.113886,0.855472,1.000821
G414-0778,1.050212,0.908769,1.216938,1.158754,1.339105,1.293492,0.854999,1.414238,1.09335,1.654082
G414-1139,1.059844,1.339983,1.254553,1.183715,0.936246,1.422838,0.927499,1.583376,1.11283,1.707147
G414-1230,1.116673,1.171737,1.551405,1.38931,1.324022,1.127484,1.008624,1.433821,1.271699,1.421561
NSC_66754,0.320197,0.82266,0.270936,0.846154,0.329341,0.796954,0.573604,2.315736,2.447134,2.699115
NSC_66761,1.058081,0.984848,1.005051,0.949881,1.020513,0.583149,0.660754,0.689579,1.18251,1.043624
NSC_67729,0.923835,0.935056,0.696022,0.753404,0.744364,1.254561,0.791049,0.828107,0.660077,1.046847
NSC_67735,0.186441,0.771186,0.432203,2.031818,0.56044,0.967742,0.806452,0.451613,0.466667,0.56
NSC_70687,1.1,1.14,1.14,1.036364,1,1.148936,0.553191,1.212766,1.055556,2.019231
NSC_70691,0.410909,1.676364,1.033939,2.051622,0.616775,2.000529,1.132275,1.857143,0.926121,1.640187
NSC_70695,0.397802,0.846154,0.716484,1.801105,0.846753,0.260341,0.883212,0.323601,1.242991,0.366391
NSC_72381,0.65035,1.335664,1.006993,1.548387,0.753927,0.459459,0.908108,0.535135,1.164706,0.589286
NSC_72382,1.145714,1.414286,1.351429,1.179551,0.955556,0.795148,1.045822,1.415094,1.779661,1.353093
NSC_72564,0.40729,1.020602,0.250396,0.614786,0.245342,0.343119,0.634862,0.218349,0.636364,0.343931
NSC_72586,0.315917,2.010936,0.382746,1.211538,0.181452,0.340237,1.863905,0.940828,2.076522,0.504762
ST001786,2.057617,1.117027,2.039273,0.928791,2.014205,0.909519,0.524541,0.862172,0.947942,1.643667
ST002653,2.002083,1.17668,2.018573,1.081598,1.857536,1.560944,1.088465,1.730053,1.108337,1.589442
ST003326,1.035524,0.60429,1.147193,1.107838,1.898414,1.172964,0.72621,1.099916,0.937724,1.514597
ST024061,0.342857,0.594805,0.501299,1.462121,0.842795,0.200837,0.447699,0.937238,2.266667,2.009346
ST038872,1.275438,1.041647,1.484619,1.164007,1.425261,1.162192,0.993122,1.422898,1.224322,1.432752
ST044917,1.485635,0.997659,1.638221,1.102707,1.642065,1.495388,0.957113,1.724389,1.153139,1.801657
ST045207,1.411268,1.286532,2.008858,1.479932,1.623419,1.409436,1.296546,2.007919,1.475194,1.603639
ST045323,2.06875,2.053125,2.334375,1.988372,2.011111,0.897436,1.153846,2.010256,2.034286,1.822222
ST049791,1.752604,0.976302,1.597396,0.911441,1.63617,1.27968,0.851138,1.287882,1.006409,1.513129
ST049792,1.867415,1.412015,2.002124,1.082372,1.431457,1.613829,1.498096,2.009464,1.29793,1.398201
ST049942,0.715168,0.798533,0.990737,1.385321,1.240696,0.840689,0.931904,0.959647,1.1415,1.02977
ST050757,0.965662,0.830951,0.982598,1.017538,1.182498,1.134031,0.665417,0.933873,0.823499,1.403441
ST057111,1.810644,1.621287,1.996287,1.102529,1.231298,1.204665,1.566591,1.550038,1.286696,0.989433
ST057338,2.072552,1.363403,2.134673,1.227922,2.045469,1.967734,1.01601,2.00532,1.043435,2.002085
ST074710,1.83416,1.123479,1.664714,0.907617,1.481749,1.166063,0.985809,1.158213,0.993268,1.174885
ST074716,0.997939,1.275889,1.254766,1.257357,0.983444,1.40625,1.552961,1.740461,1.237661,1.120737
D724-0097,1.345653,1.000891,1.324279,0.984116,1.323101,1.2825,0.937396,1.233125,0.961501,1.315479
ciprofloxacin,2.014306,1.861258,1.93663,0.903674,1.040495,1.239171,0.784344,1.165532,0.940574,1.485996
linezolid,0.664399,1.025794,1.265306,1.904437,1.23349,0.736428,1.035724,1.344304,1.825439,1.297936
