mol,A1_5,A1_10,A1_20,A1_40,A1_80,A2_5,A2_10,A2_20,A2_40,A2_80,A1_pore_5,A1_pore_10,A1_pore_20,A1_pore_40,A1_pore_80,A2_pore_5,A2_pore_10,A2_pore_20,A2_pore_40,A2_pore_80,A1_pd3_5,A1_pd3_10,A1_pd3_20,A1_pd3_40,A1_pd3_80,A2_pd3_5,A2_pd3_10,A2_pd3_20,A2_pd3_40,A2_pd3_80,A1_pd3pore_5,A1_pd3pore_10,A1_pd3pore_20,A1_pd3pore_40,A1_pd3pore_80,A2_pd3pore_5,A2_pd3pore_10,A2_pd3pore_20,A2_pd3pore_40,A2_pd3pore_80
ASD001,,100.65,180.65,382.48,698.68,,104.76,186.98,370.67,779.46,,124.49,267.92,541.31,1031.21,,154.68,288.84,666.8,1199.45,,78.9,164.11,296.45,583.38,,66.64,129.64,276.1,553.92,,108.96,212.11,426.88,805.67,,109.85,204.24,483.42,873.37
ASD002,,163.24,439.56,842.41,1673.34,,237.07,482.89,1236.8,3311.08,,410.72,898.94,1703.53,3810.98,,467.05,654.27,2279.7,3258.05,,230.15,561.26,1162.39,2361.36,,240.83,495.76,1612.43,2802.83,,425.66,939.17,2016.62,3974.61,,403.85,909.45,2402.72,5287.09
ASD004,,81.21,230.18,397.18,885.24,,112.24,280.39,562.74,1119.44,,116.2,323.57,671.56,1430.32,,140.5,428.92,696.36,1188.09,,102.96,219.36,476.86,1020.45,,123.89,299.5,598.16,1189.26,,199.48,450.07,865.3,1722.6,,198.35,460.72,859.41,1468.02
ASD007,,546.98,719.98,1511.61,2633.95,,364.06,596.49,1359.62,2352.86,,454.9,784.03,1372.47,2628.19,,387.04,553.54,1205.14,2124.22,,361,496.93,1120.56,1745.39,,296.78,474.2,1041.94,1664.32,,319.68,569.36,1049.26,1797.21,,337.16,627.39,1083.99,1544.87
ASD012,,55.86,109.19,171.03,260.71,,55.56,89.59,153.8,253.85,,63.98,110.87,177.34,269.63,,81.89,114.72,184.43,257.45,,48.89,88.75,138.35,212.8,,44.42,80.87,118.21,191.87,,49.45,91.21,142.43,224.21,,55.62,92.87,149.93,206.89
ASD019,,31.83,48.25,74.93,191.05,,27.82,49.55,95.23,302.55,,24.52,41.28,63.94,156.24,,18.54,36.48,75.3,208.05,,15.94,34.05,46.2,142.32,,21.63,26.27,48.81,150.42,,0,29.44,63.54,133.06,,0,31.89,60.92,141.37
ASD021,,302.62,522.39,1291.64,2443.71,,396.47,643.47,1175.88,2813.62,,232.68,412.94,805.53,1319.81,,230.7,320.35,801.03,2121.92,,201.34,387.54,1343.48,1892.83,,246.73,401.76,779.39,1476.52,,208.26,408.11,1089.36,1621.95,,256.95,356.5,823.62,1650
D300-0069,,64.19,68.63,187.84,383.08,,50.11,93.98,169.87,393.59,,55.87,104.58,202.45,463.5,,97.92,168.9,265.49,490.29,,73.93,98.46,225.73,375.75,,48.53,111.79,271.02,400.42,,110.24,117.27,332.4,566.36,,89.1,164.71,267.52,684.79
D300-0109,,137.87,277.58,518.02,744.39,,140.16,301.71,484.63,716.6,,164.69,278.13,470.8,1243.32,,232.69,478.42,881.24,1341.34,,162.79,281.37,461.38,862.18,,145.28,293.56,468.68,844.55,,229.77,463.11,735.56,1229.45,,228.19,422.11,767.67,1418.19
D372-0004,,70.31,108.07,188.42,304.09,,78.62,123,192.36,277.66,,101.81,150.78,229.79,510.47,,126.84,248.03,353.97,599.17,,62.26,121.19,204.96,319.47,,65.49,126.41,207.52,341.87,,112.32,207,334.97,679.11,,137.83,264.05,447.61,723.27
D372-0005,,111.75,199.92,334.01,656.14,,115.78,204.74,357.37,554.57,,190.98,361.39,265.05,969.74,,206.1,361.8,573.11,983.19,,119.11,233.74,381.33,717.85,,133.91,245.38,418.5,522.97,,247.01,449.44,756.15,1237.7,,264.18,429.46,748.26,1156.63
D372-0044,,55,98.06,176.1,248.5,,22.06,76.45,166.13,227.85,,90.9,142.3,234.21,420,,100,150,250,430,,19.09,95.25,181.36,248.9,,,100.32,167.11,243.95,,134.43,236.33,300,350,,120.38,220.97,305.38,369.38
D372-0163,,97.96,121.72,140.94,164.29,,89.29,108.3,137.74,152.8,,124.79,130.1,137.76,155,,127.24,150.27,156.46,179.24,,95.87,100.63,137.76,147.85,,92.75,94.32,124.67,151.95,,158.59,163.7,185.15,196.91,,150.17,154.52,172.07,208.35
D389-0855,,36.05,92.53,150.44,315.59,,35.46,75,149.59,322.73,,55.8,108.78,211.45,350.21,,68.89,125,237.89,412.1,,55.11,100.91,187.85,293.99,,44.94,93.95,170.27,314.8,,83.89,164.18,270.6,468.15,,99.88,169.84,287.97,500.95
D389-0970,,100.06,164.26,306.82,450.57,,104.16,168.58,341.3,425.57,,134.13,233.69,373.24,588.63,,141.8,236,383.34,598.84,,115.56,191.9,399.24,541.76,,104.25,204.11,330.27,530.82,,215.92,418.48,651.5,961.95,,208.19,431.08,712.87,978.74
DP-0000267,0,8.59,28.97,79.6,160,6.09,15.62,47.76,103.37,220,,7.68,27.09,80.64,175,0,12.26,30.09,74.14,159,,5.5,20.8,56.86,126,2.06,12.07,29.99,58.32,126,0,7.77,32.07,96.56,210,2.55,13.48,38.27,78.76,165
DP-0000268,3.93,11.08,26.44,54.83,120,5.25,9.21,27.18,67.13,140,6.14,11.59,37.54,110,226,9.65,19.59,28.3,92.41,175,2.82,5.22,13.98,35.88,77,3.9,11.85,24.06,41.76,79,3.71,6.19,19.95,79.61,165,5.03,9.5,23.98,30.37,64
DP-0000271,0,6.76,23.06,53.96,117,0,8.38,33.63,64.9,135,0,4.29,21.09,60.05,130,0,4.71,25.16,44.76,100,0,3.09,11.27,36.89,79,0,6.2,17.37,36.72,75,0,5.92,19.78,208.57,430,0,10.45,94.84,156.24,350
DP-0000273,3.21,2.98,4.88,9.01,15,0,0,2.96,5.43,15,3.01,5.1,14.96,23.33,48,3.35,8.41,24.04,25.12,52,0,3.82,7.55,10.2,22,0,3.89,8.56,6.67,20,3.95,8.23,11.91,15.35,27,0,5.83,16.34,35,75
DP-0000274,8.8,14.25,32.17,99.46,200,5.6,13.44,37.51,142.19,290,9.99,35.39,36.6,119.08,225,8.68,26.67,43.93,137.59,275,4.44,9.84,20.46,69.55,140,4.57,12.46,30.5,108.17,225,8.68,16.17,37.13,196.25,400,9.09,28.66,26.3,151.79,300
