molecule,wt_A1,pore_A1,D3_A1,D3-pore_A1,,pore/wt_A1,D3/wt_A1,D3-pore/wt_A1,,wt_A2,pore_A2,D3_A2,D3-pore_A2,,pore/wt_A2,D3/wt_A2,D3-pore/wt_A2
1500272,0.777,1.299,1.165,1.463,,1.671814672,1.499356499,1.882882883,,0.78,1.096,0.937,1.417,,1.405128205,1.201282051,1.816666667
1501007,1.176,2.025,1.62,2.002,,1.721938776,1.37755102,1.702380952,,1.168,2.303,2.09,2.232,,1.971746575,1.789383562,1.910958904
1501150,2.354,2.919,2.496,3.2,,1.240016992,1.060322855,1.359388275,,2.366,2.885,2.721,3.214,,1.219357566,1.150042265,1.35841082
1503100,10.054,9.91,6.474,7.846,,0.985677342,0.643922817,0.780385916,,9.807,10.368,8.025,8.651,,1.057204038,0.818293056,0.882125013
1503243,8.024,9.804,8.737,13.046,,1.221834497,1.088858425,1.625872383,,6.983,9.509,10.06,12.034,,1.361735644,1.440641558,1.723328082
1504185,3.278,3.735,3.221,4.98,,1.139414277,0.982611348,1.519219036,,3.117,4.417,3.919,6.419,,1.417067693,1.257298685,2.059351941
1505604,10.097,17.728,11.989,22.561,,1.75576904,1.187382391,2.234426067,,12.433,14.051,11.843,22.472,,1.130137537,0.952545645,1.807447921
1505622,25.04,34.657,37.555,53.311,,1.384065495,1.499800319,2.129033546,,16.181,32.039,20.902,48.904,,1.980038317,1.291761943,3.022310117
1506043,3.603,5.088,3.667,11.3,,1.412156536,1.017762975,3.136275326,,3.873,3.344,3.577,7.329,,0.863413375,0.923573457,1.892331526
2300173,3.34,5.277,4.347,6.769,,1.57994012,1.301497006,2.026646707,,3.974,4.987,3.894,6.681,,1.254906895,0.979869149,1.681177655
2300307,6.535,9.802,7.782,11.271,,1.499923489,1.190818669,1.724713083,,6.673,8.917,6.722,11.202,,1.336280533,1.007343024,1.67870523
ASD001,8.735,12.951,7.229,10.063,,1.482655982,0.827590155,1.152032055,,9.679,15.165,6.957,11.066,,1.56679409,0.7187726,1.143299928
ASD002,21.108,47.595,29.869,50.248,,2.254832291,1.415055903,2.380519234,,42.088,42.454,36.623,67.803,,1.008696065,0.870153013,1.610981753
