molecule,wt_A1,pore_A1,D3_A1,D3-pore_A1,,pore/wt_A1,D3/wt_A1,D3-pore/wt_A1,,wt_A2,pore_A2,D3_A2,D3-pore_A2,,pore/wt_A2,D3/wt_A2,D3-pore/wt_A2
ASD004,11.077,18.168,12.885,21.573,,1.640155277,1.163221089,1.947548975,,14.138,14.817,14.993,18.355,,1.048026595,1.060475315,1.298274155
ASD007,32.169,32.049,21.571,22.066,,0.996269701,0.670552395,0.68593988,,29.498,26.247,20.739,18.767,,0.889789138,0.703064615,0.636212625
ASD012,3.134,3.217,2.54,2.683,,1.026483727,0.810465858,0.856094448,,3.056,2.983,2.27,2.451,,0.976112565,0.742801047,0.802028796
ASD019,2.296,1.887,1.73,1.748,,0.821864111,0.753484321,0.761324042,,3.757,2.605,1.828,1.84,,0.693372372,0.486558424,0.489752462
ASD021,30.956,16.316,25.044,20.936,,0.527070681,0.809019253,0.676314769,,34.519,26.572,18.167,20.508,,0.769778962,0.526289869,0.594107593
D300-0069,4.766,5.759,4.645,7.066,,1.208350818,0.974611834,1.482584977,,4.859,5.88,5.161,8.371,,1.21012554,1.062152706,1.722782466
D300-0109,9.217,15.2,10.413,14.9,,1.649126614,1.129760226,1.616578062,,8.714,16.61,10.268,17.45,,1.90612807,1.178333716,2.002524673
D372-0004,3.65,6.069,3.891,8.247,,1.662739726,1.066027397,2.259452055,,3.251,7.12,4.149,8.811,,2.190095355,1.276222701,2.710243002
D372-0005,7.978,10.926,8.747,15.003,,1.369516169,1.096390073,1.880546503,,6.735,11.788,6.3,13.934,,1.750259837,0.935412027,2.068893838
D372-0044,3.026,5.025,3.231,3.862,,1.660608063,1.0677462,1.276272307,,2.962,5.125,2.945,4.226,,1.730249831,0.994260635,1.42673869
D372-0163,1.612,1.333,1.462,1.722,,0.826923077,0.906947891,1.068238213,,1.537,1.62,1.511,1.897,,1.054001301,0.98308393,1.234222511
D389-0855,3.909,4.355,3.617,5.698,,1.114095677,0.925300588,1.457661806,,4.043,5.089,3.901,6.058,,1.258718773,0.964877566,1.498392283
D389-0970,5.488,7.036,6.713,11.527,,1.282069971,1.223214286,2.100400875,,5.231,7.145,6.429,11.898,,1.365895622,1.229019308,2.274517301
DP-0000267,2.099,2.283,1.638,2.75,,1.087660791,0.780371606,1.310147689,,2.815,2.056,1.602,2.115,,0.730373002,0.569094139,0.751332149
DP-0000268,1.519,2.935,0.986,2.162,,1.932192232,0.649111257,1.423304806,,1.796,2.237,0.987,0.775,,1.245545657,0.549554566,0.431514477
DP-0000271,1.518,1.704,1.037,5.759,,1.122529644,0.683135705,3.793807642,,1.748,1.289,0.97,4.524,,0.737414188,0.554919908,2.588100686
DP-0000273,0.176,0.597,0.272,0.309,,3.392045455,1.545454545,1.755681818,,0.193,0.626,0.236,0.967,,3.243523316,1.222797927,5.010362694
DP-0000274,2.576,2.852,1.814,5.263,,1.107142857,0.704192547,2.043090062,,3.799,3.536,2.931,3.894,,0.930771256,0.771518821,1.025006581
DP-0000275,3.302,1.752,1.992,2.461,,0.530587523,0.603270745,0.745305875,,2.082,2.244,1.987,2.429,,1.077809798,0.954370797,1.166666667
DP-0000352,3.824,5.291,3.183,3.411,,1.383629707,0.832374477,0.891997908,,5.323,7.307,3.44,3.924,,1.372722149,0.646252113,0.737178283
DP-0000375,2.859,2.298,1.181,1.746,,0.803777545,0.413081497,0.610703043,,2.041,3.404,1.475,1.778,,1.667809897,0.722684958,0.871141597
DP-0000481,0.06,0.058,NA,NA,,0.966666667,NA,NA,,0.037,0.06,NA,NA,,1.621621622,NA,NA
DP-0000485,1.652,1.372,1.394,1.166,,0.830508475,0.843825666,0.705811138,,1.404,1.426,1.901,1.063,,1.015669516,1.353988604,0.757122507
DP-0000490,0.96,1.345,1.182,1.358,,1.401041667,1.23125,1.414583333,,0.979,0.997,1.067,1.161,,1.018386108,1.08988764,1.185903984
DP-0000492,0.501,2.763,0.315,0.861,,5.51497006,0.628742515,1.718562874,,0.752,1.871,0.563,1.172,,2.488031915,0.748670213,1.558510638
DP-0000498,1.184,2.458,0.179,2.12,,2.076013514,0.151182432,1.790540541,,0.75,1.466,0.183,1.812,,1.954666667,0.244,2.416
DP-0000499,0.656,1.081,0.422,0.565,,1.647865854,0.643292683,0.861280488,,0.757,0.722,0.547,0.744,,0.953764861,0.722589168,0.982826948
DP-0000548,5.93,4.473,4.348,3.069,,0.754300169,0.733220911,0.517537943,,6.446,5.268,4.533,3.534,,0.817251008,0.703226807,0.548246975
DP-0000551,5.354,8.041,5.981,11.616,,1.501867762,1.117108704,2.169592828,,5.779,9.28,6.355,11.021,,1.605814155,1.099671223,1.907077349
DP-0000552,4.349,4.792,2.93,3.772,,1.101862497,0.673718096,0.867325822,,4.982,5.066,3.031,3.391,,1.016860699,0.608390205,0.680650341
DP-0000553,1.005,1.515,0.978,1.382,,1.507462687,0.973134328,1.375124378,,1.274,2.862,1.342,2.398,,2.246467818,1.053375196,1.882260597
DP-0000555,3.122,5.394,3.476,4.947,,1.727738629,1.113388853,1.584561179,,4.185,6.939,3.168,5.194,,1.658064516,0.756989247,1.241099164
DP-0000556,1.38,1.776,1.212,1.802,,1.286956522,0.87826087,1.305797101,,3.773,2.345,2.534,3.369,,0.621521336,0.6716141,0.892923403
DP-0000558,4.754,4.942,3.726,3.279,,1.039545646,0.783761043,0.68973496,,4.303,5.354,3.478,4.746,,1.244248199,0.808273298,1.102951429
DP-0000559,9.265,14.986,9.288,17.68,,1.617485159,1.002482461,1.908256881,,9.27,15.01,9.425,17.586,,1.619201726,1.016720604,1.897087379
DP-0000560,8.778,15.272,13.824,27.735,,1.739804056,1.574846206,3.159603554,,9.242,17.924,18.603,12.965,,1.939407055,2.012876001,1.402834884
DP-0000562,2.465,3.689,2.478,4.603,,1.496551724,1.005273834,1.867342799,,2.474,4.368,2.245,5.56,,1.765561843,0.907437348,2.247372676
DP-0000563,2.517,4.632,3.593,5.701,,1.840286055,1.427493047,2.264998014,,2.661,7.211,4.966,9.104,,2.709883502,1.866215708,3.421270199
G210-2547,5.842,14.331,6.991,17.185,,2.453098254,1.196679219,2.941629579,,5.896,12.635,8.993,14.791,,2.14297829,1.52527137,2.508649932
G414-0762,2.168,2.247,2.201,2.405,,1.036439114,1.015221402,1.109317343,,2.155,2.547,2.255,1.516,,1.181902552,1.046403712,0.703480278
G414-0778,5.114,4.947,4.486,5.74,,0.967344544,0.877199844,1.122409073,,5.129,6.743,4.159,7.157,,1.314681224,0.810879314,1.395398713
G414-1139,2.242,2.235,3.274,2.822,,0.996877788,1.460303301,1.258697591,,3.289,5.054,2.962,5.709,,1.536637276,0.900577683,1.735785953
G414-1230,2.089,2.294,2.619,3.173,,1.098133078,1.253709909,1.518908569,,2.157,2.347,2.217,3.026,,1.088085304,1.027816412,1.402874363
NSC_66754,0.207,0.058,0.139,0.061,,0.280193237,0.671497585,0.29468599,,0.221,0.119,0.107,1.029,,0.538461538,0.484162896,4.656108597
NSC_66761,0.4,0.435,0.446,0.377,,1.0875,1.115,0.9425,,0.463,0.258,0.317,0.356,,0.557235421,0.684665227,0.768898488
NSC_67729,3.336,2.964,2.938,1.926,,0.888489209,0.880695444,0.577338129,,4.097,4.746,2.948,2.676,,1.158408592,0.719550891,0.653160849
NSC_67735,0.123,0.021,0.101,0.063,,0.170731707,0.821138211,0.512195122,,0.027,0.032,0.025,0.011,,1.185185185,0.925925926,0.407407407
NSC_70687,0.05,0.054,0.061,0.061,,1.08,1.22,1.22,,0.045,0.059,0.025,0.061,,1.311111111,0.555555556,1.355555556
NSC_70691,0.928,0.389,1.507,1,,0.419181034,1.623922414,1.077586207,,0.169,0.402,0.203,0.354,,2.378698225,1.201183432,2.094674556
NSC_70695,0.511,0.19,0.388,0.37,,0.371819961,0.759295499,0.72407045,,0.498,0.11,0.391,0.147,,0.220883534,0.785140562,0.295180723
NSC_72381,0.158,0.089,0.13,0.144,,0.563291139,0.82278481,0.911392405,,0.206,0.081,0.119,0.096,,0.393203883,0.577669903,0.466019417
NSC_72382,0.358,0.406,0.513,0.473,,1.134078212,1.432960894,1.32122905,,0.284,0.288,0.361,0.529,,1.014084507,1.271126761,1.862676056
NSC_72564,0.67,0.276,0.767,0.167,,0.411940299,1.144776119,0.249253731,,0.647,0.171,0.372,0.101,,0.264296754,0.57496136,0.1561051
NSC_72586,0.916,0.31,2.054,0.305,,0.338427948,2.242358079,0.332969432,,0.371,0.122,0.714,0.3,,0.32884097,1.924528302,0.808625337
ST001786,2.238,5.94,2.62,5.513,,2.654155496,1.170688114,2.463360143,,4.793,4.323,2.592,4.315,,0.90194033,0.54078865,0.900271229
ST002653,11.66,24.342,14.028,24.716,,2.087650086,1.203087479,2.119725557,,14.015,19.902,15.105,22.527,,1.420049946,1.077773814,1.607349269
ST003326,9.445,12.884,7.363,13.443,,1.364107994,0.779565908,1.423292747,,10.512,15.818,9.619,13.928,,1.504756469,0.915049467,1.324961948
ST024061,0.666,0.164,0.375,0.371,,0.246246246,0.563063063,0.557057057,,0.236,0.049,0.094,0.226,,0.207627119,0.398305085,0.957627119
ST038872,3.406,4.262,3.52,4.751,,1.251321198,1.033470346,1.394891368,,3.752,3.893,3.572,4.811,,1.037579957,0.952025586,1.282249467
ST044917,4.094,6.308,3.932,6.914,,1.540791402,0.960429897,1.688812897,,5.465,7.39,4.473,8.952,,1.352241537,0.818481244,1.638060384
ST045207,2.966,4.134,3.949,6.235,,1.393796359,1.331422792,2.102157788,,3.213,4.401,3.82,6.46,,1.369747899,1.188920012,2.010582011
ST045323,0.032,0.066,0.07,0.144,,2.0625,2.1875,4.5,,0.04,0.033,0.045,0.079,,0.825,1.125,1.975
ST049791,3.837,6.935,3.691,5.923,,1.807401616,0.96194944,1.543653896,,5.003,6.398,4.006,6.148,,1.2788327,0.800719568,1.228862682
ST049792,3.242,6.132,4.733,6.434,,1.891425046,1.459901295,1.984577421,,3.197,5.073,5.124,6.783,,1.586800125,1.602752581,2.121676572
ST049942,2.447,1.767,1.825,2.524,,0.722108705,0.745811197,1.031467103,,2.245,1.941,2.059,2.26,,0.864587973,0.91714922,1.006681514
ST050757,7.083,6.558,5.334,6.512,,0.925878865,0.753070733,0.919384442,,5.024,5.728,3.208,4.885,,1.140127389,0.638535032,0.972332803
ST057111,0.661,1.18,1.046,1.234,,1.785173979,1.582450832,1.866868381,,1.082,1.319,1.796,1.808,,1.219038817,1.659889094,1.670979667
ST057338,2.365,6.564,3.504,7.892,,2.775475687,1.481606765,3.336997886,,3.922,7.315,3.811,6.945,,1.865119837,0.971698113,1.770780214
ST074710,1.813,3.514,1.917,2.891,,1.938223938,1.057363486,1.594594595,,2.988,3.252,2.899,3.145,,1.088353414,0.97021419,1.052543507
ST074716,3.499,3.182,4.489,3.665,,0.909402686,1.282937982,1.047442126,,2.519,3.101,3.979,3.615,,1.231044065,1.579595077,1.435093291
D724-0097,5.818,8.15,6.281,8.38,,1.400825026,1.079580612,1.440357511,,6.88,8.445,7.095,8.561,,1.22747093,1.03125,1.244331395
ciprofloxacin,1.994,3.972,3.424,3.923,,1.991975928,1.717151454,1.967402207,,3.098,3.525,1.743,3.605,,1.137830859,0.562621046,1.16365397
linezolid,3.183,2.328,3.462,4.513,,0.731385485,1.087653157,1.417844801,,3.62,2.656,3.929,5.395,,0.733701657,1.085359116,1.490331492
