molecule,wt_A1,pore_A1,D3_A1,d3-pore_A1,,pore/wt_A1,D3/wt_A1,D3-pore/wt_A1,,wt_A2,pore_A2,D3_A2,d3-pore_A2,,pore/wt_A2,D3/wt_A2,D3-pore/wt_A2
ASD004,10.838,17.52,12.486,21.578,,1.616534416,1.152057575,1.990957741,,13.976,15.634,14.858,19.178,,1.11863194,1.063108185,1.372209502
ASD007,34.241,33.575,23.294,23.568,,0.980549633,0.680295552,0.688297655,,30.375,27.422,22.032,21.514,,0.902781893,0.725333333,0.708279835
ASD012,3.581,3.708,2.92,3.053,,1.035464954,0.815414689,0.852555152,,3.389,3.657,2.605,2.937,,1.079079374,0.768663323,0.866627324
ASD019,2.302,1.897,1.656,1.621,,0.82406603,0.719374457,0.704170287,,3.445,2.42,1.733,1.692,,0.702467344,0.503047896,0.491146589
ASD021,30.663,17.458,25.286,21.597,,0.569350683,0.824642077,0.704334214,,33.995,24.766,18.8,20.546,,0.7285189,0.553022503,0.604382997
D300-0069,4.726,5.627,4.917,7.3,,1.190647482,1.040414727,1.544646636,,4.784,6.376,5.364,8.196,,1.33277592,1.121237458,1.713210702
D300-0109,10.259,14.766,11.139,16.393,,1.439321571,1.085778341,1.597914027,,9.9,18.171,11.016,18.222,,1.835454545,1.112727273,1.840606061
D372-0004,4.086,6.36,4.33,8.587,,1.556534508,1.059716104,2.101566324,,3.9,8.038,4.569,9.697,,2.061025641,1.171538462,2.486410256
D372-0005,8.349,11.449,9.241,16.555,,1.371301952,1.106839142,1.9828722,,7.519,13.044,7.626,15.728,,1.73480516,1.014230616,2.091767522
D372-0044,3.463,5.497,3.443,5.42,,1.587352007,0.994224661,1.565116951,,3.132,5.694,3.358,5.575,,1.818007663,1.072158365,1.780012771
D372-0163,2.611,2.56,2.389,3.296,,0.980467254,0.914975105,1.262351589,,2.446,2.927,2.348,3.311,,1.196647588,0.959934587,1.353638594
D389-0855,3.938,4.613,3.953,6.165,,1.171406805,1.00380904,1.56551549,,3.96,5.373,4.038,6.587,,1.356818182,1.01969697,1.663383838
D389-0970,6.189,8.004,7.565,13.358,,1.293262239,1.22232994,2.158345452,,6.131,8.162,7.153,13.826,,1.33126733,1.166693851,2.255097048
DP-0000267,1.953,2.099,1.509,2.508,,1.074756784,0.77265745,1.284178187,,2.683,1.925,1.542,2.025,,0.717480432,0.57472978,0.754752143
DP-0000268,1.461,2.742,0.932,1.978,,1.876796715,0.637919233,1.353867214,,1.706,2.171,1.01,0.813,,1.272567409,0.592028136,0.476553341
DP-0000271,1.413,1.556,0.945,5.067,,1.101203114,0.668789809,3.585987261,,1.66,1.213,0.924,4.252,,0.730722892,0.556626506,2.561445783
DP-0000273,0.2,0.603,0.277,0.365,,3.015,1.385,1.825,,0.173,0.674,0.244,0.913,,3.895953757,1.410404624,5.277456647
DP-0000274,2.441,2.803,1.702,4.786,,1.148299877,0.697255223,1.960671856,,3.496,3.366,2.708,3.628,,0.962814645,0.774599542,1.037757437
DP-0000275,3.198,1.842,2.127,2.537,,0.575984991,0.665103189,0.793308318,,2.172,2.241,2.114,2.542,,1.031767956,0.973296501,1.170349908
DP-0000352,4.586,5.879,3.681,3.744,,1.28194505,0.80266027,0.816397732,,5.725,7.564,3.992,4.5,,1.321222707,0.697292576,0.786026201
DP-0000375,2.685,2.317,1.209,1.6,,0.862942272,0.45027933,0.595903166,,2.121,3.203,1.416,1.704,,1.510136728,0.667609618,0.803394625
DP-0000481,0.06,0.063,NA,NA,,1.05,NA,NA,,0.041,0.065,NA,NA,,1.585365854,NA,NA
DP-0000485,1.503,1.382,1.351,1.107,,0.919494345,0.898868929,0.736526946,,1.305,1.445,1.647,1.049,,1.107279693,1.262068966,0.803831418
DP-0000490,1.025,1.323,1.19,1.331,,1.290731707,1.16097561,1.298536585,,1.002,1.026,1.2,1.109,,1.023952096,1.19760479,1.106786427
DP-0000492,0.582,2.432,0.369,0.955,,4.178694158,0.634020619,1.640893471,,0.788,1.705,0.644,1.195,,2.163705584,0.817258883,1.516497462
DP-0000498,1.044,2.339,0.155,1.926,,2.240421456,0.148467433,1.844827586,,0.674,1.397,0.157,1.774,,2.072700297,0.232937685,2.632047478
DP-0000499,0.634,1.117,0.419,0.61,,1.761829653,0.660883281,0.96214511,,0.709,0.708,0.528,0.724,,0.998589563,0.74471086,1.021156559
DP-0000548,5.837,4.455,4.137,3.356,,0.763234538,0.708754497,0.574952887,,6.276,5.428,4.66,3.472,,0.864882091,0.742511154,0.553218611
DP-0000551,5.782,8.621,5.859,10.905,,1.491006572,1.013317191,1.886025597,,5.94,9.216,6.091,10.461,,1.551515152,1.025420875,1.761111111
